quote,author,category
We accept the love we think we deserve.,"Stephen Chbosky, The Perks of Being a Wallflower","inspirational, love"
"Love all, trust a few, do wrong to none.","William Shakespeare, All's Well That Ends Well","do-wrong, love, trust, wrong"
"You love me. Real or not real?""I tell him, ""Real.","Suzanne Collins, Mockingjay","katniss, love, peeta, suzanne-collins, the-hunger-games"
"Love is like the wind, you can't see it but you can feel it.","Nicholas Sparks, A Walk to Remember","love, simile"
"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,"attributed-no-source, girls, love"
To die will be an awfully big adventure.,"J.M. Barrie, Peter Pan","adventure, love"
We love the things we love for what they are.,Robert Frost,"love, poetry"
I would die for you. But I won't live for you.,"Stephen Chbosky, The Perks of Being a Wallflower",love
"You are, and always have been, my dream.","Nicholas Sparks, The Notebook",love
Where there is love there is life.,Mahatma Gandhi,"life, love"
Never love anyone who treats you like you're ordinary.,Oscar Wilde,"love, ordinary, people"
I would always rather be happy than dignified.,"Charlotte Brontë, Jane Eyre","love, pride, women"
We loved with a love that was more than love.,Edgar Allan Poe,"logic, love"
What's meant to be will always find a way,Trisha Yearwood,"fate, inspiration, love"
The heart was made to be broken.,Oscar Wilde,"heartbreak, love"
"Love is so short, forgetting is so long.","Pablo Neruda, Love: Ten Poems",love
The very essence of romance is uncertainty.,"Oscar Wilde, The Importance of Being Earnest and Other Plays","love, romance"
"And, in the endThe love you takeis equal to the love you make.","Paul McCartney, The Beatles Illustrated Lyrics","beatles, inspirational, live, love, music"
"If you remember me, then I don't care if everyone else forgets.","Haruki Murakami, Kafka on the Shore","inspirational, love"
"It was love at first sight, at last sight, at ever and ever sight.","Vladimir Nabokov, Lolita","humbert-humbert, love"
I love you. Remember. They cannot take it,"Lauren Oliver, Delirium","amor-deliria-nervosa, love"
When love is not madness it is not love.,Pedro Calderón de la Barca,"love, romance"
Declarations of love amuse me. Especially when unrequited.,"Cassandra Clare, City of Bones","clary-fray, jace-wayland, love"
Love is an irresistible desire to be irresistibly desired.,Robert Frost,love
"If I can stop one heart from breaking, I shall not live in vain.",Emily Dickinson,"life, love"
"The greater the love, the greater the tragedy when it's over.","Nicholas Sparks, Nights in Rodanthe",love
"Hate the sin, love the sinner.",Mahatma Gandhi,"hate, love, religion, sin, sinners"
"One love, one heart, one destiny.",Bob Marley,"bob-marley, compassion, destiny, heart, humanity, inspirational, love"
I love you like a fat kid loves cake!,Scott Adams,"food, humor, love"
Gravitation is not responsible for people falling in love.,Albert Einstein,love
Find what you love and let it kill you.,Charles Bukowski,love
Look after my heart - I've left it with you.,"Stephenie Meyer, Eclipse","bella, edward, love, twilight-saga"
I want to do with you what spring does with the cherry trees.,"Pablo Neruda, Twenty Love Poems and a Song of Despair",love
"How do you spell 'love'?"" - Piglet""You don't spell it...you feel it."" - Pooh",A.A. Milne,"love, piglet, pooh-bear, winnie-the-pooh"
Happiness [is] only real when shared,"Jon Krakauer, Into the Wild","family, happiness, inspirational, love, marriage"
"I wasn't actually in love, but I felt a sort of tender curiosity.","F. Scott Fitzgerald, The Great Gatsby","affection, amity, love"
A half-read book is a half-finished love affair.,"David Mitchell, Cloud Atlas","books, love, reading"
To love oneself is the beginning of a lifelong romance.,"Oscar Wilde, An Ideal Husband",love
I like flaws. I think they make things interesting.,"Sarah Dessen, The Truth About Forever","life, love"
I'm oxygen and he's dying to breathe.,"Tahereh Mafi, Shatter Me","beautiful, couples, kiss, love, metaphor, need, ya"
"Who, being loved, is poor?",Oscar Wilde,love
"When I saw you I fell in love, and you smiled because you knew.",Arrigo Boito,love
"The more one judges, the less one loves.","Honoré de Balzac, Physiologie Du Mariage","human-nature, love"
The heart has its reasons which reason knows not.,Blaise Pascal,"heart, love, quip, reason"
"Come sleep with me: We won't make Love, Love will make us.",Julio Cortázar,"love, poem, relationships, romance"
Don't cry over someone who wouldn't cry over you.,Lauren Conrad,"crying, heartache, love, sadness, tears"
"This is where it all begins. Everything starts here, today.","David Nicholls, One Day","hope, love"
True love is usually the most inconvenient kind.,"Kiera Cass, The Selection","inconvenient, love, relationship, true-love"
My wish is that you may be loved to the point of madness.,"André Breton, What is Surrealism?: Selected Writings","love, madness"
"The things we love destroy us every time, lad. Remember that.","George R.R. Martin, A Game of Thrones","love, mormont"
"I won't ever leave you, even though you're always leaving me.","Audrey Niffenegger, The Time Traveler's Wife","heartbreak, love"
You have to kiss a lot of frogs before you find your prince,"E.L. James, Fifty Shades of Grey",love
The course of true love never did run smooth.,"William Shakespeare, A Midsummer Night's Dream","love, true-love"
"For where all love is, the speaking is unnecessary","Diana Gabaldon, Outlander",love
sex is the consolation you have when you can't have love,Gabriel García Márquez,"desire, loneliness, love, lust, passion, sex"
I'd learned that some things are best kept secret.,"Nicholas Sparks, Dear John","life, love, secrets"
"Don't waste your love on somebody, who doesn't value it.","William Shakespeare, Romeo and Juliet","love, romeo-and-juliet, values, waste"
"Love is how you stay alive, even after you are gone.",Mitch Albom,"death, immortality, love"
It's not how much we give but how much love we put into giving.,Mother Teresa,"charity, giving, love"
"And what would humans be without love?""RARE, said Death.","Terry Pratchett, Sourcery","death, love"
The soul is healed by being with children.,Fyodor Dostoyevsky,"children, healing, humility, inspiration, love, openness, society"
If you're a bird... I'm a bird...,"Nicholas Sparks, The Notebook",love
"I belong to my beloved, and my beloved is mine.","Jamie McGuire, Beautiful Disaster","love, romance"
It's hard being left behind. (...) It's hard to be the one who stays.,"Audrey Niffenegger, The Time Traveler's Wife","being-left, love, time, waiting"
"Moments, when lost, can't be found again. They're just gone.","Jenny Han, The Summer I Turned Pretty","bellys, love, missed-chances, romance"
"Trust no friend without faults, and love a woman, but no angel.",Doris Lessing,"friendship, love, trust"
There is always something left to love.,"Gabriel García Márquez, One Hundred Years of Solitude",love
We must love one another or die,W.H. Auden,love
"If a thing loves, it is infinite.",William Blake,love
Love is a better master than duty.,Albert Einstein,love
